row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,sign_grid,sign_local,in_original_bracket,in_hot_window,dimension_jump_flag
1245,0.2691323266163308,5,4.8671235029480611e-20,-0,4.8095507250377941e-20,-0,1,1,false,true,false
1246,0.26913717185859293,5,4.744203308804018e-20,-0,4.6875179734310714e-20,-0,1,1,false,true,false
1247,0.26914201710085506,5,4.6212315613387119e-20,-0,4.5654342060145146e-20,-0,1,1,false,true,false
1248,0.26914686234311713,5,4.4982084029872085e-20,-0,4.4432995636191942e-20,-0,1,1,false,true,false
1249,0.26915170758537926,5,4.3751339755755926e-20,-0,4.3211141864708627e-20,-0,1,1,false,true,false
1250,0.26915655282764139,5,4.2520084203317399e-20,-0,4.1988782142006296e-20,-0,1,1,false,true,false
1251,0.26916139806990347,5,4.1288318778829848e-20,-0,4.0765917858426291e-20,-0,1,1,false,true,false
1252,0.2691662433121656,5,4.0056044882514897e-20,-0,3.9542550398295107e-20,-0,1,1,false,true,false
1253,0.26917108855442773,5,3.8823263908648331e-20,-0,3.8318681140028546e-20,-0,1,1,false,true,false
1254,0.26917593379668986,5,3.7589977245549468e-20,-0,3.709431145612183e-20,-0,1,1,false,true,false
1255,0.26918077903895193,5,3.6356186275570866e-20,-0,3.5869442713139066e-20,-0,1,1,false,true,false
1256,0.26918562428121406,5,3.5121892375109121e-20,-0,3.4644076271724622e-20,-0,1,1,false,true,false
1257,0.26919046952347619,5,3.3887096914675993e-20,-0,3.3418213486672906e-20,-0,1,1,false,true,false
1258,0.26919531476573827,5,3.2651801258884292e-20,-0,3.2191855706914717e-20,-0,1,1,false,true,false
1259,0.2692001600080004,5,3.1416006766402549e-20,-0,3.0965004275472874e-20,-0,1,1,false,true,false
1260,0.26920500525026253,5,3.0179714790090119e-20,-0,2.9737660529595667e-20,-0,1,1,false,true,false
1261,0.2692098504925246,5,2.8942926676920564e-20,-0,2.8509825800681233e-20,-0,1,1,false,true,false
1262,0.26921469573478674,5,2.7705643768010812e-20,-0,2.7281501414306204e-20,-0,1,1,false,true,false
1263,0.26921954097704887,5,2.6467867398668412e-20,-0,2.605268869027299e-20,-0,1,1,false,true,false
1264,0.26922438621931094,5,2.5229598898401386e-20,-0,2.4823388942619578e-20,-0,1,1,false,true,false
1265,0.26922923146157307,5,2.3990839590883736e-20,-0,2.3593603479584739e-20,-0,1,1,false,true,false
1266,0.2692340767038352,5,2.2751590794039991e-20,-0,2.2363333603692902e-20,-0,1,1,false,true,false
1267,0.26923892194609733,5,2.1511853820019676e-20,-0,2.1132580611728463e-20,-0,1,1,false,true,false
1268,0.26924376718835941,5,2.0271629975229638e-20,-0,1.9901345794767624e-20,-0,1,1,false,true,false
1269,0.26924861243062154,5,1.9030920560310375e-20,-0,1.8669630438155482e-20,-0,1,1,false,true,false
1270,0.26925345767288367,5,1.7789726870202974e-20,-0,1.7437435821571766e-20,-0,1,1,false,true,false
1271,0.26925830291514574,5,1.6548050194168603e-20,-0,1.6204763219051224e-20,-0,1,1,false,true,false
1272,0.26926314815740787,5,1.5305891815711079e-20,-0,1.4971613898906018e-20,-0,1,1,false,true,false
1273,0.26926799339967,5,1.4063253012712587e-20,-0,1.3737989123860755e-20,-0,1,1,false,true,false
1274,0.26927283864193208,5,1.2820135057398706e-20,-0,1.250389015101773e-20,-0,1,1,false,true,false
1275,0.26927768388419421,5,1.1576539216292321e-20,-0,1.1269318231811292e-20,-0,1,1,false,true,false
1276,0.26928252912645634,5,1.0332466750342345e-20,-0,1.0034274612135882e-20,-0,1,1,false,true,false
1277,0.26928737436871841,5,9.0879189148626126e-21,-0,8.7987605322848434e-21,-0,1,1,false,true,false
1278,0.26929221961098054,5,7.8428969595417509e-21,-0,7.5627772269608361e-21,-0,1,1,false,true,false
1279,0.26929706485324267,5,6.597402128513234e-21,-0,6.3263259253449325e-21,-0,1,1,false,true,false
1280,0.26930191009550475,5,5.3514356603451842e-21,-0,5.0894078510871741e-21,-0,1,1,false,true,false
